Title of the Example or Article,Abstract or Summary,Link,Type of Example (Perspective/Case Study/Case studies/Review/Empirical). Case study = examples that represent one case study ; case studies = articles that contain multiple case studies ; perspective = articles that offer perspectives without cases ; Review = articles that review other literature ; empirical = articles using empirical data/experiments but do not represent case studies
EXAMPLES FROM CASE STUDY DATABASE USING ARTISTIC TOOLS,,,
Common Ground,"Common Ground is charity based in Dorset, which has been at the forefront of community conservation and environmental education in England for the last thirty years. We are not a think tank or political pressure group. We are a small, grassroots organisation that collaborate openly to reconnect people with nature and inspires communities to become responsible for their local environment. We believe that enjoying where you live and celebrating the connections people have with the wildlife and landscape on their doorstep, is at the root of meaningful conservation. We want to build identity and pride in the particularity of places and support different communities in creating a quality of life which is more sensitive to nature, is more caring of the buildings and landscapes which express our continuing history, harbours our memories, and perpetuates knowledge of ordinary lives and local culture. With the right tools, people can uncover intimate attachments to places for themselves, developing the kind of enjoyment and resolve that strengthens community resilience and cohesion in uncertain times.

Common Ground was founded in 1983 by Sue Clifford, Angela King and the writer Roger Deakin, with the idea of Local Distinctiveness at its heart. Projects like Apple Day, New Milestones, Parish Maps, Tree Dressing and Community Woodlands have captured the imagination of hundreds of communities all over the country and continue to unearth very strong feelings of attachment and belonging, to local history, to language, nature, architecture, folklore, and to the landscape of places.","http://www.theguardian.com/society/2007/dec/19/communities.voluntarysector, https://www.commonground.org.uk/what-we-do/",case study
Rachel Carson’s Silent Spring,"“Silent Spring” was published 50 years ago this month. Though she did not set out to do so,
Carson influenced the environmental movement as no one had since the 19th century’s most
celebrated hermit, Henry David Thoreau, wrote about Walden Pond. “Silent Spring” presents
a view of nature compromised by synthetic pesticides, especially DDT. Once these pesticides
entered the biosphere, Carson argued, they not only killed bugs but also made their way up the
food chain to threaten bird and fish populations and could eventually sicken children. Much of
the data and case studies that Carson drew from weren’t new;; the scientific community had
known of these findings for some time, but Carson was the first to put them all together for
the general public and to draw stark and far-­reaching conclusions. In doing so, Carson, the
citizen-­scientist, spawned a revolution.",https://www.columbia.edu/cu/alliance/EDF-2012-documents/Reading_Fox_1.pdf,case study
From Sea to Street,"The Earth’s vital ocean is constantly changing and is at risk due to pollution, overfishing, and climate change (Pörtner et al. 2022). Research highlights the importance of personal attachment to the sea in fostering responsible stewardship (Chawla 2020; Pyle 2003). In urban areas, opportunities for human-nature interactions are limited, making mediated experiences, i.e., indirect interactions a crucial tool for fostering ocean stewardship. Murals, a form of street art, are prevalent in many cities around the world (Schacter and MacDowall 2023) and have been suggested as tools to promote community engagement and raise environmental literacy and awareness (see Mattern 1999; Sanchez et al. 2020; Schneller and Irizarry 2014). Based on the lessons learned from the project “From Sea to Street”, we hypothesise that murals evoke emotions, thoughts and memories, thereby shaping and strengthening people’s connection to the marine environment",http://doi.org/10.3897/ap.e126595,case study
Mundis Maris,"This is a case with transformative potential because it is using diverse artistic expressions to make small-scale fisheries visible and relevant for coastal communities around the world andd helping (i) to encourage and promote the valuation of fishing communities' social capital and cultural heritage in pursuit of sustainable relations with the sea and the coast, including through exhibitions and other forms of communication; (ii) to encourage artistic expression in response to scientific knowledge reflecting diverse ways of 'knowing' and articulating such knowledge, (iii) to encourage the development of didactic tools for education and self-training, and (iv) to promote a better recognition of indigenous knowledge in the pursuit of the transition towards sustainability by encouraging active collaboration between researcher, artists, teachers, students and local communities.
",https://www.mundusmaris.org/about-us/,case study
Reforest Fest,"The mission at Greenpop and for the Reforest Fest is to get active and not anxious about the state of the planet. By being part of a movement, and taking on the daily grind of creating a place of bright green mindset, you’re able to get yourself into a place of feeling connected with community, seeing what’s possible with collective action and experiencing the many landscape-based projects that have seen huge success. Reforest Fest is an annual restoration celebration that brings people together to plant thousands of trees while enjoying a celebration for all ages in nature. It’s a festival for everyone, grandparents to toddlers. Restoring landscapes is fundamentally about people as much as it is about trees. It starts with connection, shared love and appreciation, and a decision to bravely start something new, often small. But through nurture, directed growth, intentional cultivation, compassion, and dedication, it can flourish into something profound and impactful. Both for our planet and future generations, we foster hope, whatever may come.
Where creativity meets participation, people congregate to enjoy in the diverse array of entertainment with interactive art & theatre for the whole family – all whilst having a blast getting active for the environment, by planting indigenous trees in degraded landscapes. It brings joy, celebration and a sense of community into restoration of landscapes. There have been incredible results. Just recently, in 2023, a camera trap footage, from the Platbos Forest Reserve, captured one of the elusive and majestic Cape Leopards, within the forest that is undergoing restoration activities. in the 11 years its been active (as of 2023) more than 7000 people have participated in the reforestation festival, 16 species of indigenous plants have been planted, 6 people have permanent employment at the UIilenkraal Valley Restoration Project, with 105k trees planted.",https://greenpop.org/reforest-fest-2023/,case study
Terrastories,"Terrastories is an application for communities to map, protect, and share stories about their land. It can be used by individuals or communities who want to connect audio or video content to places on a map. It is designed to be user-friendly and fun to interact with, allowing community members to freely explore without needing any technical background.
Terrastories began when a team of geographers from the Amazon Conservation Team and software developers from Ruby for Good decided to start building Terrastories to help a community in South America map their place-based oral histories. The Matawai Maroons of Suriname, a community of formerly enslaved Africans who fled into the forests over three centuries ago and reside there today, wanted to map oral histories about when their ancestors first arrived in these lands. The community leaders were interested in having a tool that helps the young people get to know these places, their history, their culture, and who they are as a people. ",https://terrastories.app/how-it-works/#methodology,case study
SnowChange,"Snowchange is a network and scientific organisation dedicated to documenting and preserving traditional ways of life and knowledge of indigenous cultures specifically in the Circumpolar North but also across the world. Snowchange works with local communities to gather powerful stories with the aim to influence international climate and indigenous policies. The organisation won the Worldwide Fund for Nature in 2002.

",https://www.snowchange.org/,case study
Interactive Knowledge Center (Centro Interactivo de los Conocimientos),"In 23 years, this institution has constantly sought innovation in its practices. Currently it has incorporated the intersection between art, science and nature as a key element. This last pillar has gained great importance and generated a project that includes the ecological rehabilitation of the park that surrounds the center, recovering 5 hectares of soil that has been planted with various native flora species, thus providing habitat for animals and fungi, in one of the most vulnerable areas of the capital. All of this with the purpose of reconnect the community with the country's natural heritage, reflecting, and putting into practice the regeneration of the natural environment and also of our common life.

Stimulating dialogue between scientists and artists expands the limits of knowledge, experimentation and imagination. And the conjunction of sciences and arts provide a context rich in content and relationships to understand our environment, and return to a more harmonious relationship with nature and with people.

Museums are more than spaces where the history of a country, works of art or scientific phenomena are exhibited, they are places connected with reality, with their communities, attentive to social transformations, which encourage reflection and conversation.

The Interactive Knowledge Center is today a space that invites reflection, but not only to diagnose, but mainly to act. It is a moment in history when we no longer only promote “learning by doing,” but also “doing to learn.”",https://www.registromuseoschile.cl/663/w3-article-50622.html,case study
One Ocean Hub,"The One Ocean Hub aims to transform our response to the urgent challenges facing our ocean and influence decisions and practices that shape the future of the ocean by promoting sustainability and justice. Our research seeks to bridge current disconnections in law, science and policy and integrate governance frameworks to balance multiple ocean uses with conservation. We strive to empower communities – especially women and children – most reliant upon the oceans to inform decisions based on multiple values and knowledge systems. We bring together coastal people, researchers, decision makers, civil society, and international organisations to value, and learn from, different forms of knowledge and voices.

Our 100+ researchers specifically address challenges and opportunities in South Africa, Namibia, Ghana, Fiji and Solomon Islands, through collaborative and transdisciplinary research. We also have an area of ‘international’ work that focuses on international law and policy governing the ocean.

Why we do this
The ocean provides over half of the oxygen in our planet, absorbs our carbon dioxide, provides us with food, and supports the livelihood of millions of people. Climate change, over-fishing, ocean plastics and many other pressures are posing a serious threat to the ocean and to the planet as a whole. There is a growing global awareness of the various threats to ocean health, and we are seeing efforts from the global to the local levels to respond to them. Nevertheless, the actions of government and associations are often disconnected and uncoordinated and frequently end up excluding those communities which are most reliant upon the ocean. The Hub seeks to promote a genuinely inclusive approach to ocean governance, which is urgently needed.

",https://oneoceanhub.org/,case study
