ID,Table code,Theory/framework/methodology,Literal definition,Primary approach,Secondary approach
TCA3_001,Table SM.3.1,Human agency,"Human agency is a critically important factor for ensuring that sustainability transformation in any given social-ecological system places social justice and equity at the centre alongside meeting environmental goals. The term human agency is multi-faceted. It involves an individual’s capacity to freely make choices (K. Brown & Westaway, 2011), the capacity to define one’s goals and act on them (Kabeer, 1999) and the capacity to play an independent causal role in history (McLaughlin & Dietz, 2008). The exercise of human agency goes beyond observable action and includes the less visible aspects of the meanings, motivations and purposes that animate people’s activities (Kabeer, 1999; Manlosa, 2022). While much of literature views agency as a matter of decision-making, Kabeer (1999) considers a more nuanced view to include bargaining, negotiation, non-action as resistance and invisible cognitive processes of reflection and analysis as exercises of agency. While agency is primarily an individual’s capacity, it can also be possessed by groups history (McLaughlin & Dietz, 2008) in collective action. The concept of human agency contributes to transformative change research. One of the earlier research strands linking human agency and transformative change was done by feminist scholars theorizing the processes through which human agency contributes to gender transformative change towards more equal gender and power relations (Kantor, 2013). The discourse on sustainability transformation is much broader but some of the linkages are similar. For instance, the setting of goals to guide the direction of sustainability transformation includes the exercise of human agency. Questions of whose goals, raises issues around which groups have the opportunity to play causal roles in transformation processes in their own places. Complex decision-making and the power of participatory processes to amplify the voices of marginalized groups similarly involves the analysis and exercise of human agency of diverse social groups. Thus, human agency is foundational to the sustainability transformation discourse.",Systems,Empowerment
TCA3_002,Table SM.3.2,Agroecological transformations,"Conventional agriculture has been a major driver of environmental degradation, with the expansion of the agricultural frontier displacing natural areas and intensifying land use (Tscharntke et al., 2005). This has led to increased deforestation, greenhouse gas emissions and global biodiversity loss and nature’s decline, which in turn have reduced the natural capital of agroecosystems and their capacity to provide ecosystem services (Tilman et al., 2002). However, these environments have the potential to contribute to multiple dimensions of human well-being and proper management can resolve trade-offs between production, food security and people's quality of life. Building natural capital over the long term, such as fertile soils and more positive biotic interactions, is crucial for sustainable food systems (Tittonell, 2020). Agroecological transformation is an interactive horizontal change that promotes shared learning and creative solutions. It aims to comprehensively transform agroecosystems to function based on ecological processes driven by diversification strategies inside and outside the fields (Altieri, 2018). Both a multidisciplinary science and a social movement (Wezel et al., 2009), agroecology5 can be implemented in systems of any scale because it is highly context-dependent and its principles adapt to each case. It comprises practices as diverse as intercropping, integrated pest management, dry mulching and water infiltration, relying most of all on a participatory approach that brings together actors from the productive, academic, political and public sectors with a common vision. Assistance from various sectors may involve technology transfers56, from optimizations at the logistics level in field management to service provisioning and improvements in existing farming tools.",Systems,"Science & Technology, Knowledge co-creation"
TCA3_003,Table SM.3.3,Phases of deliberate social-ecological transformations,"Inspired by the four-phases adaptation cycle, Olsson et al (2004) proposed that social-ecological transformations generally take place in three phases: 1) preparing for change, 2) navigating the transition and 3) building resilience of the new trajectory of development. The framework was expanded by describing subprocesses that occur within each phase and emphasizing the role of power and agency for the case of deliberate, purposeful or intentional social-ecological transformations (Moore et al., 2014). Deliberate transformation theory engages with the political, as well as the inner dimensions of transformations through questioning the assumptions, beliefs, values, commitments, loyalties and interests that support current structures, systems and behaviours (Manuel-Navarrete & Pelling, 2015; O’Brien, 2012). Considering the complex interactions between agency and structural factors in particular social-ecological systems Andrachuk et al. (2018) proposed a “building blocks” heuristic to complement the three-phases model. This heuristic recognizes the interplay of bottom-up and top-down perspectives on how to foster meaningful and lasting changes.",Systems,"Knowlodge co-creation, Inner, Structural"
TCA3_004,Table SM.3.4,Panarchy theory,"The panarchy theory (Gunderson & Holling, 2003) offers a comprehensive framework for understanding dynamic change in complex social-ecological systems . One major concept from this theory delineates a four-phase adaptive cycle, encompassing exploitation, conservation, release and reorganization, with each adaptive cycle connected across scales, to at least one adaptive cycle “above” and “below” that scale and numerous others alongside. The two phases of the “front loop” of the cycle are relatively slow, involving resource accumulation and institutionalization of that system state. However, the flexibility and diversity of the system are reduced in these phases, affecting its capacity to respond to external shocks. Then, if the state of that social-ecological systems is disrupted, it may open up space for new opportunities and innovations that might shape the reorganization of a new system (the “back loop”). A system that has resilience is able to move between all of these phases of the cycle without facing total collapse. The panarchy – the cross-scale connections of multiple adaptive cycles – also shapes the social-ecological systems through dynamics such as remembrance (i.e., social-ecological memory that provides context and experience after collapse) and revolt (which arises from the interactions between radical niches that aim to break down the status quo), which are key for understanding and guiding transformative change (Olsson et al., 2022). Subsequent developments in the field of resilience science have built upon panarchy theory by highlighting three key aspects that are involved in resilience: persistence, adaptability and transformability (Folke et al., 2010). In particular, scholars have underscored the critical role of resilience in social-ecological systems transformations in both destabilizing existing undesirable systems and strengthening emerging ones. Three phases typically proceed social-ecological systems transformations, namely, the preparing, navigating and stabilizing phase (Olsson et al., 2014); and each phase involves specific capacities for fostering social ecological systems transformations (Westley et al., 2013).",Systems,"Inner, Empowerment, Structural"
TCA3_005,Table SM.3.5,Catalysing transformation,"Catalyzing transformation is a process used by change agents called transformation catalysts (Waddock, 2023; Waddock & Waddell, 2021) in many different contexts to bring about purposeful system transformation/change by connecting, cohering and amplifying the work of multiple change agents into self-aware and effective transformation systems (Waddock et al., 2022). Catalysis draws from the idea that paradigm shift in, for example, how humans understand their relationship to nature and other-than-human beings, drives economic and societal activities that impact the natural world

(Meadows, 1999). The idea of catalysis (Hussein et al., 2017) builds on a systems-based understanding that draws from complexity theory, based on understanding that bringing together multiple actors into greater coherence and action can lend impact to their transformation activities thereby developing potential to overcome vested interested to shift towards more equitable, flourishing socio-ecological systems8.",Systems,"Knowledge co-creation, Inner"
TCA3_006,Table SM.3.6,Seeds of good anthropocenes,"The Seeds of Good Anthropocene initiative is based on the assumption that achieving desirable futures in the Anthropocene involves imagining more radical transformative futures (Bennett et al., 2016). Current visions of the future are dominated by dystopian visions of the future, while scientific visions are often overly optimistic expectations of change despite business-as-usual approaches. The lack of a wider variety of alternative futures and the methods to create them presents a barrier to innovation and action (Pereira et al., 2019). Complexity and resilience approaches are particularly well-suited to the challenge of transforming to a more sustainable Anthropocene because of the uncertainty, novelty and uneven nature of transformative change. While most theories of change feature gradual change of dominant systems, the Seeds of Good Anthropocenes approach is based on the idea that the world is more diverse and surprising and that transformative change often comes from the combination of existing marginal experiments. A high diversity of experiments towards change is essential to provide response diversity that enables a system to cope with surprises and shocks.",Systems,Empowerment
TCA3_007,Table SM.3.7,Collective action in social-ecological systems,"Collective action is a central feature and need of both people and nature, essential for enabling transformative changes by working together to establish common goals and systems to achieve them. The social-ecological systems framework developed by Elinor Ostrom and colleagues, (McGinnis & Ostrom, 2014; Ostrom, 2009a) is a comprehensive empirically-based tool for diagnosing the variables hindering or enabling collective action at the interface of people and nature. The framework provides organized sets of variables in eight first-tier categories, with the central four being Governance, Actors, Resource Users and Resource systems. Each first-tier category contains nested second-tier variables – 56 in total - that are more specific such as resource system productivity, property rights, leadership and economic value. The logic of the framework is to provide a comprehensive diagnostic checklist of the empirically-backed variables that may be influencing collective action in the commons - which are understood as social-ecological systems - such as fishery, urban gardens or land for pastoralists. Similar to medical doctors, sustainability scholars can use the framework to diagnose collective action and sustainability outcome problems with the framework by first assessing the role of each variable in the system of interest and then narrowing those down to the underlying factors that can be addressed with governance interventions to enable transformative changes in the system’s functionality towards more desirable outcomes (Cox, 2011). Both social and biophysical variables shape collective action processes and the characteristics of those variables can make it easier or harder for groups to work together and transform the system effectively. Recent reviews of the literature have suggested it’s evolution into sub-frameworks tailored to specific sectors to more effectively define and measure common variables (Partelow, 2019). Applying the framework involves interdisciplinary qualitative and quantitative methods, where recent guidelines have been proposed (Nagel & Partelow, 2022).",Systems,Structural
TCA3_008,Table SM.3.8,Integrative framework for transformative social change,"Addressing complex environmental problems means a system-level transformations in lock-in structures such as social norms, infrastructures and institutions (Seto et al., 2016). Solutions also emerge as a result of the dynamic interaction between individual and collective actions. Individuals can contribute to sustainable pathways incrementally through their consumption and lifestyle choices, while also collectively influencing social structures through both implicit and explicit support for systemic change (O’Brien & Sygna, 2013). Because social systems and human actions are deeply interconnected, both top-down and bottom-up approaches are necessary to achieve transformative change (Geels & Schot, 2007). An integrative framework for transformative social change elucidates various pathways to advance environmental sustainability, explicitly treating both behavioural and social structural processes as interdependent elements for system feedbacks (Naito et al., 2022). Through behavioural processes, individuals play a crucial role in affecting social systems that in turn enable or constrain individual actions. In particular, the framework distinguishes between three types of individual actions that contribute differently to transformative change: private action that people take independently to reduce their environmental footprints (e.g., recycling); social-signaling action that people conduct to signal their environmental values (e.g., opinion sharing); and system-changing action that people engage in with a clear intent of influencing laws, policies and corporate actions (e.g., protesting). In social structural processes, it is important to analyze how existing institutions, social norms, economic systems and infrastructures are arranged and how they facilitate conditions that perpetuate environmental problems. Removing barriers to or enhancing the enablers of change within social structures is key to achieving rapid and dynamic transformations. The framework suggests that transformative change can be initiated from any points within either the behavioural or structural processes. However, it ultimately implies change across all aspects to establish and diffuse new pro-environmental norms (Otto et al., 2020).",Systems,Structural
TCA3_009,Table SM.3.9,Sustainability transitions,"Drawing on insights from complexity theory, the concept of transitions points at the patterns and mechanisms underlying such structural change in systems: transitions are a non-linear shift from one dynamic equilibrium to another. From natural and environmental sciences, transitions are understood as outcome of processes of self-organization, emergence and co-evolution that can keep a complex system dynamically stable. But when the context changes and the system is unable to adapt tipping points occur (Folke et al., 2004). Sustainability transitions research (Loorbach et al., 2017) explores what this could mean for transitions in the making by combining it with insights from social sciences. In complex societal systems transformative change is less straightforward: positions of actors, experiences, expectations, interests, emotions, power, imagination and preferences make societal transitions ambiguous, contested and uncertain (Rotmans et al., 2001). Yet the basic pattern has proven to be repetitive and predictable. In societal systems, actors develop so-called ‘regimes’ (shared cultures, structures and practices) that provide stability but also create path dependency (Rip, 1995). Over time ultimately context changes (technological, geopolitical, demographic changes combined with increasing sustainability concerns), internal lock-in and emerging alternatives will make established regimes ‘unsustainable’ and drive it out-of-equilibrium. The X-curve (Hebinck et al., 2022) identifies the different co-evolving patterns of increasingly destabilizing regime structures and emerging alternative technologies, practices, norms, structures and models. In this process actors will experience and develop sense of urgency, awareness and opportunity in different ways and start to work to accelerate or work against transformative pressures building up. Typically established (incumbent) actors are more likely to seek control, stability and avoid chaos and breakdown, while external actors and social innovations search for it. The understanding of transformative change in terms of the patterns and mechanisms underlying transitions does not provide a blueprint for action but it does offer a basis for new forms of governance that can influence the speed and direction of these emergent and semi-autonomous processes.",Systems,Structural
TCA3_010,Table SM.3.10,Social movement theory,"A social movement is a network of informal interactions between a plurality of individuals, groups and/or organizations, engaged in a political or cultural conflict, on the basis of a shared collective identity” (Diani, 1992). As a distinctive forms of contentious politics, social movements involve

collective claims-making which, if realized, would conflict with someone else’s interests. They also act as a counterweight to oppressive power, as a summons to popular action against a wide range of injustices (Wood, 2019). Social movements theories have highlighted the political aspect of the contentions that give to collective action. This is so because governments, in their various forms, participate as key players, whether as claimants, as actors in the claim making, objects or allies of claims, or as monitors of the contention (McAdam et al., 2001). Different theories have focused on different dimensions of these social processes. Among the most relevant perspectives, the resource mobilization theory, drawing on a rational choice approach, have focused on the assets and capacities of aggrieved groups. Resources may be tangible, such as money and facilities and intangible, such as the solidarities, cultural commitments and identity networks (Jenkins, 2001). Other theories have focused on the social movements’ shared collective identity. Collective identity here refers to imagined as well as concrete communities. As a fluid and relational process, it involves an act of perception and construction, as well as the discovery of preexisting bonds, interests and boundaries (Polletta & Jasper, 2001). Other analytical perspectives have focused on political opportunities, taking into account the multiplicity of independent centres of power within the polity, the openness of the polity to new actors, the instability of current political alignments and the availability of influential allies or supporters - within which activists are making claims (Tilly, 1993). The rise and fall of social movements mark the expansion and contraction of democratic opportunities (Wood, 2019).",Systems,"Knowledge co-creation, Empowerment, Structural"
